isbn,price,title
 978-1-84951-742-3,$49.99,Metasploit Penetration Testing Cookbook

 978-1-4302-5113-2,$19.95,Managing Risk and Information Security

 978-1-118-02780-6,$98.95,Cyber Security Policy Guidebook

 978-1-84951-738-6,$44.99,BackTrack 5 Cookbook

 978-1-84951-774-4,$59.99,Advanced Penetration Testing for Highly-Secured Environments

 978-1-78216-316-9,$37.99,Web Penetration Testing with Kali Linux

 978-1-118-79372-5,$50.00,Data-Driven Security

 978-1-118-88814-8,$92.95,Cybersecurity for Executives

 978-0-07178-4-351,$28.32,"Information Security The Complete Reference, 2nd Edition"

 978-1-118-12706-3,$81.33,"Computer Security Handbook, 6th Edition"

 978-1-118-83635-4,$50.00,Cyber Threat!

 978-1-59327-290-6,$59.95,Practical Malware Analysis

" 978-1-78328-477-1, 1783284773",$27.15,Building Virtual Pentesting Labs for Advanced Penetration Testing

 978-1-118-60864-7,$15.00,Android Hacker’s Handbook

 978-1-59327-590-7,$34.95,Black Hat Python

 1931769516,$6.25,Disassembling Code: IDA Pro and SoftICE

 978-0-59652-763-1,$39.99,"Network Security Hacks, 2nd Edition"

 978-0-596-00963-2,$59.99,Security Power Tools

 978-1-59327-581-5,$49.95,Android Security Internals

 978-1-4302-6818-5,$84.99,Advanced API Security

 978-0-596-52931-4,$49.99,Securing Ajax Applications

 978-0-321-34998-9,$33.30,Security Metrics

 978-0-596-51030-5,$7.25,"Network Security Assessment, 2nd Edition"

 978-0-471-91710-6,$2.03,Rootkits For Dummies

 978-0-0714-9426-7,$55.00,"Hacking Exposed Windows, 3rd Edition"

 978-1-78216-923-9,$33.81,Cuckoo Malware Analysis

 978-1-118-38093-2,$29.99,"Hacking For Dummies, 4th Edition"

 978-0-0714-9461-8,$1.99,Hacking Exposed Web 2.0

 978-1-118-80999-0,$60.00,Threat Modeling

 978-3-642-40202-9,$143.00,Computer Security – ESORICS 2013

 978-1-484201-49-7,$35.43,The Manager’s Guide to Web Application Security

 978-1-4302-6382-1,$24.32,The InfoSec Handbook

" 1494932636, 9781494932633",$24.99,The Hacker Playbook: Practical Guide To Penetration Testing

 978-1-118-66209-0,$55.00,The Browser Hacker’s Handbook

 978-1-4302-2730-4,$44.99,"Enterprise Mac Security: Mac OS X Snow Leopard, 2nd Edition"

